q,unique_id,gender,score
Q7.1_3,01057178,Male/Man,3
Q7.1_3,0300b5f2,Female/Woman,1
Q7.1_3,03f6503b,Female/Woman,3
Q7.1_3,08b6cb02,Female/Woman,5
Q7.1_3,0903d70d,Female/Woman,2
Q7.1_3,093d86f8,Male/Man,2
Q7.1_3,116f675f,Female/Woman,5
Q7.1_3,12c5704b,Female/Woman,2
Q7.1_3,147c2961,Female/Woman,4
Q7.1_3,18073726,Female/Woman,5
Q7.1_3,1d6fdb67,Male/Man,3
Q7.1_3,235a61bb,Male/Man,3
Q7.1_3,247c668b,Female/Woman,3
Q7.1_3,287687fd,Male/Man,4
Q7.1_3,2936fc3b,Female/Woman,3
Q7.1_3,29df6c94,Male/Man,1
Q7.1_3,2a5f9237,Female/Woman,2
Q7.1_3,2cfcd1d3,Female/Woman,4
Q7.1_3,314f328c,Female/Woman,4
Q7.1_3,34921653,Female/Woman,4
Q7.1_3,41fff96d,Male/Man,2
Q7.1_3,47afd764,Male/Man,1
Q7.1_3,4888dad2,Female/Woman,2
Q7.1_3,4f2aa2a5,Female/Woman,5
Q7.1_3,502cc749,Male/Man,3
Q7.1_3,52bd3591,Female/Woman,3
Q7.1_3,56977874,Female/Woman,4
Q7.1_3,5b43029c,Female/Woman,5
Q7.1_3,5c9fa37a,Female/Woman,1
Q7.1_3,5dca1675,Female/Woman,4
Q7.1_3,5f3f152b,Female/Woman,2
Q7.1_3,6048d753,Female/Woman,4
Q7.1_3,64c810ff,Female/Woman,4
Q7.1_3,65aadfb7,Male/Man,4
Q7.1_3,67986fc5,Female/Woman,2
Q7.1_3,6b57f33f,Female/Woman,4
Q7.1_3,6c7f6daf,Male/Man,4
Q7.1_3,6faafc7a,Male/Man,3
Q7.1_3,6fc56d21,Male/Man,5
Q7.1_3,722994c2,Female/Woman,4
Q7.1_3,72f3a154,Female/Woman,3
Q7.1_3,74741aa3,Female/Woman,5
Q7.1_3,7591f93f,Female/Woman,5
Q7.1_3,7d0a07a9,Female/Woman,5
Q7.1_3,7d28c303,Female/Woman,4
Q7.1_3,7d55383a,Another Gender,4
Q7.1_3,8116550a,Female/Woman,1
Q7.1_3,83491ff9,Female/Woman,4
Q7.1_3,8450f8ad,Male/Man,2
Q7.1_3,876547d6,Female/Woman,3
Q7.1_3,88c768ff,Female/Woman,2
Q7.1_3,8bb71a11,Female/Woman,4
Q7.1_3,8bdd8621,Female/Woman,2
Q7.1_3,8f3afacf,Female/Woman,5
Q7.1_3,8fb4abbb,Female/Woman,4
Q7.1_3,8fd7c791,Female/Woman,1
Q7.1_3,91abfa72,Female/Woman,5
Q7.1_3,91b069f6,Female/Woman,4
Q7.1_3,931a9502,Female/Woman,2
Q7.1_3,a10b387f,Female/Woman,3
Q7.1_3,a1a87020,Female/Woman,3
Q7.1_3,a457ba87,Female/Woman,5
Q7.1_3,a4bdc4ff,Female/Woman,4
Q7.1_3,a6262fb1,Female/Woman,4
Q7.1_3,a64a1d79,Female/Woman,1
Q7.1_3,a6b64960,Female/Woman,1
Q7.1_3,a8776c75,Female/Woman,2
Q7.1_3,b08b447d,Female/Woman,5
Q7.1_3,b2333f12,Female/Woman,4
Q7.1_3,b291df9b,Female/Woman,1
Q7.1_3,b5886a6f,Female/Woman,1
Q7.1_3,b7138c92,Female/Woman,2
Q7.1_3,bbc26357,Female/Woman,3
Q7.1_3,bbff9083,Female/Woman,1
Q7.1_3,bc756d1b,Female/Woman,4
Q7.1_3,bcf00f90,Female/Woman,5
Q7.1_3,bd85d204,Female/Woman,4
Q7.1_3,c22f1bc9,Female/Woman,2
Q7.1_3,c636186d,Female/Woman,2
Q7.1_3,c74a76f2,Female/Woman,4
Q7.1_3,c954cb8b,Female/Woman,4
Q7.1_3,cb1aa626,Male/Man,5
Q7.1_3,cc125cff,Female/Woman,3
Q7.1_3,cd1f2af7,Female/Woman,5
Q7.1_3,d090a401,Female/Woman,5
Q7.1_3,d4f45f91,Female/Woman,1
Q7.1_3,d7709660,Female/Woman,4
Q7.1_3,db2c622f,Female/Woman,3
Q7.1_3,df75a997,Female/Woman,2
Q7.1_3,f11c4650,Male/Man,1
Q7.1_3,f1421435,Female/Woman,4
Q7.1_3,f17cf62d,Female/Woman,4
Q7.1_3,f49bd3d6,Female/Woman,3
Q7.1_3,f59adbc7,Female/Woman,5
Q7.1_3,f6b6ff94,Female/Woman,4
Q7.1_3,f6d0ca86,Female/Woman,3
Q7.1_3,faff1adb,Female/Woman,5
Q7.1_3,fb314f0c,Female/Woman,1
Q7.1_3,fbf01307,Female/Woman,1
Q7.1_3,fdc75782,Female/Woman,1
Q7.1_3,ff286a0d,Female/Woman,2
Q7.1_3,02ada576,Female/Woman,3
Q7.1_3,02d2d877,Female/Woman,2
Q7.1_3,034f0b3f,Male/Man,2
Q7.1_3,053cf5f8,Female/Woman,1
Q7.1_3,0a27b1f0,Female/Woman,1
Q7.1_3,0a5a9cf3,Female/Woman,2
Q7.1_3,0ab35b29,Male/Man,1
Q7.1_3,0b56a2b9,Male/Man,2
Q7.1_3,0b9ff8a5,Female/Woman,3
Q7.1_3,0c036ff7,Female/Woman,2
Q7.1_3,164d2091,Male/Man,2
Q7.1_3,18f0f1ab,Female/Woman,1
Q7.1_3,1b3d51d8,Female/Woman,2
Q7.1_3,1c737b9b,Female/Woman,3
Q7.1_3,1ca8f370,Female/Woman,2
Q7.1_3,1d7a6791,Male/Man,4
Q7.1_3,1da67907,Female/Woman,5
Q7.1_3,211ff18b,Male/Man,3
Q7.1_3,25fbf6bb,Female/Woman,4
Q7.1_3,27fa0ff6,Male/Man,4
Q7.1_3,281bfd79,Female/Woman,3
Q7.1_3,2a0cf315,Female/Woman,2
Q7.1_3,326f8b8b,Male/Man,1
Q7.1_3,37356959,Female/Woman,4
Q7.1_3,38c9fcb0,Female/Woman,5
Q7.1_3,3f341301,Female/Woman,3
Q7.1_3,3f3d37f6,Female/Woman,1
Q7.1_3,3f684759,Female/Woman,2
Q7.1_3,3f940fc8,Female/Woman,1
Q7.1_3,408aad31,Male/Man,2
Q7.1_3,4453f81d,Male/Man,2
Q7.1_3,47dc6b33,Female/Woman,2
Q7.1_3,495d547f,Female/Woman,2
Q7.1_3,498a5f25,Female/Woman,3
Q7.1_3,533a830a,Male/Man,2
Q7.1_3,53b45c26,Female/Woman,2
Q7.1_3,559f33c2,Female/Woman,2
Q7.1_3,564d20dd,Female/Woman,3
Q7.1_3,56af674d,Female/Woman,2
Q7.1_3,582005f3,Female/Woman,1
Q7.1_3,58f92a8c,Female/Woman,3
Q7.1_3,601383a8,Female/Woman,3
Q7.1_3,604a4df3,Male/Man,5
Q7.1_3,617c3167,Male/Man,3
Q7.1_3,6244431d,Female/Woman,4
Q7.1_3,648ff768,Female/Woman,4
Q7.1_3,687cf973,Female/Woman,1
Q7.1_3,6f2d1968,Female/Woman,4
Q7.1_3,6f5f0955,Female/Woman,4
Q7.1_3,6f79c9d2,Female/Woman,3
Q7.1_3,6ff24c73,Female/Woman,5
Q7.1_3,73880f81,Female/Woman,2
Q7.1_3,7b443616,Male/Man,1
Q7.1_3,7d8c46f3,Female/Woman,3
Q7.1_3,7f7b4b78,Male/Man,1
Q7.1_3,82c46d38,Female/Woman,1
Q7.1_3,8af0f1fd,Female/Woman,2
Q7.1_3,916a41bf,Male/Man,2
Q7.1_3,91a3994a,Female/Woman,2
Q7.1_3,91b6d27f,Male/Man,1
Q7.1_3,95486343,Female/Woman,3
Q7.1_3,970026f2,Female/Woman,2
Q7.1_3,97da0d14,Female/Woman,3
Q7.1_3,98972c15,Female/Woman,3
Q7.1_3,9bd0b4a6,Male/Man,5
Q7.1_3,9fc43886,Female/Woman,2
Q7.1_3,9fdff23d,Female/Woman,3
Q7.1_3,a0769a11,Female/Woman,3
Q7.1_3,a110af8d,Female/Woman,2
Q7.1_3,a1d6908f,Female/Woman,5
Q7.1_3,a78cdb61,Female/Woman,1
Q7.1_3,ac050d05,Female/Woman,2
Q7.1_3,b1049ffd,Female/Woman,1
Q7.1_3,b41af645,Female/Woman,5
Q7.1_3,b4fa792a,Male/Man,3
Q7.1_3,b58b1627,Female/Woman,5
Q7.1_3,b59a29f7,Female/Woman,3
Q7.1_3,b7651058,Male/Man,3
Q7.1_3,b9495353,Female/Woman,3
Q7.1_3,b9f00840,Female/Woman,2
Q7.1_3,bbf665d4,Female/Woman,1
Q7.1_3,bcd3f8d9,Female/Woman,4
Q7.1_3,bf5689df,Male/Man,1
Q7.1_3,c2176739,Female/Woman,1
Q7.1_3,c4291846,Female/Woman,3
Q7.1_3,c69758b2,Male/Man,3
Q7.1_3,d3d0c09b,Male/Man,1
Q7.1_3,d51ff070,Female/Woman,1
Q7.1_3,d588d4c2,Female/Woman,3
Q7.1_3,d701d424,Female/Woman,1
Q7.1_3,d7d51f02,Female/Woman,3
Q7.1_3,d7dff78f,Male/Man,2
Q7.1_3,dd259ff3,Female/Woman,5
Q7.1_3,ddf32fb6,Male/Man,1
Q7.1_3,f184c80d,Female/Woman,3
Q7.1_3,f20d1d5a,Female/Woman,1
Q7.1_3,f2a3112d,Female/Woman,3
Q7.1_3,f362bb68,Female/Woman,4
Q7.1_3,f4dbf6f7,Male/Man,1
Q7.1_3,f65162f3,Male/Man,3
Q7.1_3,f72f52df,Female/Woman,3
Q7.1_3,f858f82a,Female/Woman,1
Q7.1_3,fc33a4f4,Female/Woman,2
Q7.1_3,fdbaf008,Male/Man,3
Q7.1_3,fdd325b9,Female/Woman,3
Q7.1_3,fdf1d555,Female/Woman,1
Q7.1_3,ff1873f9,Male/Man,5
Q7.1_3,ff5f9594,Female/Woman,2
Q7.1_3,ffbf6642,Male/Man,4
Q7.1_3,fff5f3a2,Female/Woman,4
Q7.1_3,03f35bda,Female/Woman,1
Q7.1_3,0c00c240,Female/Woman,1
Q7.1_3,0df044b5,Female/Woman,2
Q7.1_3,1afb0c3a,Female/Woman,3
Q7.1_3,20942359,Female/Woman,5
Q7.1_3,2831f098,Female/Woman,1
Q7.1_3,389f1cf9,Male/Man,1
Q7.1_3,3bf85691,Female/Woman,5
Q7.1_3,47bdf74b,Female/Woman,5
Q7.1_3,5265c5d3,Female/Woman,5
Q7.1_3,60d54333,Female/Woman,3
Q7.1_3,60fa96ac,Female/Woman,5
Q7.1_3,66705ff6,Female/Woman,4
Q7.1_3,6963a6c2,Male/Man,3
Q7.1_3,89592180,Female/Woman,5
Q7.1_3,8bd39df2,Female/Woman,1
Q7.1_3,8ffb19bc,Female/Woman,2
Q7.1_3,9079f312,Female/Woman,5
Q7.1_3,93f96774,Female/Woman,5
Q7.1_3,99d74a0c,Female/Woman,5
Q7.1_3,9ccf5679,Female/Woman,4
Q7.1_3,9f90c7b0,Female/Woman,2
Q7.1_3,aa99dd23,Female/Woman,3
Q7.1_3,afbf16f2,Female/Woman,5
Q7.1_3,b4b8b040,Female/Woman,3
Q7.1_3,b8f3c7d3,Female/Woman,4
Q7.1_3,bb3fcc10,Male/Man,5
Q7.1_3,d526f5c9,Female/Woman,1
Q7.1_3,f328a8b4,Female/Woman,2
Q7.1_3,f6c08ffb,Female/Woman,3
Q7.1_3,f91970d5,Female/Woman,4
Q7.1_3,4df538c2,Female/Woman,2
Q7.1_3,4f4bf2b4,Female/Woman,2
Q7.1_3,a58a39bc,Female/Woman,4
Q7.1_3,f028d421,Female/Woman,4
Q7.1_3,f484048f,Female/Woman,1
Q7.1_3,fba73538,Female/Woman,5
Q7.1_3,fbb8c982,Male/Man,2
Q7.1_3,00b48c0b,Female/Woman,2
Q7.1_3,02f91024,Female/Woman,4
Q7.1_3,110f4b01,Male/Man,3
Q7.1_3,1433f239,Female/Woman,4
Q7.1_3,1f24f73f,Female/Woman,5
Q7.1_3,219fbd6b,Male/Man,4
Q7.1_3,27d35bcb,Female/Woman,5
Q7.1_3,31f59fbf,Female/Woman,2
Q7.1_3,3f5086bb,Female/Woman,4
Q7.1_3,48b8b1f3,Female/Woman,2
Q7.1_3,48f97cf0,Female/Woman,3
Q7.1_3,5a623653,Female/Woman,4
Q7.1_3,7fcf7743,Male/Man,2
Q7.1_3,8bccf089,Female/Woman,3
Q7.1_3,906dff21,Female/Woman,3
Q7.1_3,91613275,Male/Man,2
Q7.1_3,91913ffb,Male/Man,5
Q7.1_3,a7d158b7,Female/Woman,2
Q7.1_3,a89615a7,Male/Man,1
Q7.1_3,ab47f25c,Female/Woman,3
Q7.1_3,abf91862,Female/Woman,5
Q7.1_3,ad02ddb4,Female/Woman,1
Q7.1_3,b9248cd4,Male/Man,2
Q7.1_3,bbf0565f,Male/Man,2
Q7.1_3,bfad0fb4,Male/Man,2
Q7.1_3,c7860f47,Male/Man,2
Q7.1_3,cf095109,Female/Woman,5
Q7.1_3,cfb29aa5,Male/Man,3
Q7.1_3,d040bd57,Female/Woman,5
Q7.1_3,dba8c4ca,Female/Woman,2
Q7.1_3,dcf1f262,Female/Woman,3
Q7.1_3,dfdaf0f5,Female/Woman,1
Q7.1_3,f11276cf,Female/Woman,4
Q7.1_3,f1962308,Female/Woman,5
Q7.1_3,f5cddf20,Another Gender,4
Q7.1_3,f644f84c,Female/Woman,5
Q7.1_3,f66b5d9f,Female/Woman,1
Q7.1_3,f6b96b80,Male/Man,3
Q7.1_3,fbf84888,Female/Woman,2
Q7.1_3,ff94994d,Female/Woman,2
Q7.1_3,0f5f8290,Female/Woman,1
Q7.1_3,1c36f4a4,Female/Woman,2
Q7.1_3,26ff985f,Female/Woman,2
Q7.1_3,002a7731,Female/Woman,3
Q7.1_3,02987a28,Female/Woman,2
Q7.1_3,02d0fbbb,Female/Woman,4
Q7.1_3,04317d22,Female/Woman,2
Q7.1_3,09d814fa,Female/Woman,5
Q7.1_3,0a1c0230,Male/Man,1
Q7.1_3,0ab142fa,Female/Woman,5
Q7.1_3,0f243b6f,Female/Woman,3
Q7.1_3,0fb9afff,Female/Woman,3
Q7.1_3,1474c77f,Female/Woman,1
Q7.1_3,150a1a77,Male/Man,1
Q7.1_3,1b2cff9b,Female/Woman,1
Q7.1_3,1f1f38c8,Female/Woman,1
Q7.1_3,1f726684,Male/Man,4
Q7.1_3,20f2afb1,Female/Woman,3
Q7.1_3,2161091b,Female/Woman,2
Q7.1_3,21f7af52,Female/Woman,3
Q7.1_3,2327d671,Male/Man,2
Q7.1_3,2388a983,Male/Man,2
Q7.1_3,23f412bb,Female/Woman,1
Q7.1_3,2484f5d7,Female/Woman,3
Q7.1_3,27cbf8f9,Female/Woman,3
Q7.1_3,2c166fb6,Male/Man,1
